title,brand sponsor,description,date,venue,event_type,tags/_text,time,tags/_source,tags,pageUrl,level,theme
Dailymotion presents Tasted’s Custom Cocktail Happy Hour,Dailymotion,Free custom cocktails for SXSW badge holders.,"Saturday, March 14",Bungalow 92 Rainey St,Cocktails Party,Cocktails; Party,6:00PM - 8:00PM,/2015/tags/Cocktails; /2015/tags/Party,http://schedule.sxsw.com/2015/tags/Cocktails; http://schedule.sxsw.com/2015/tags/Party,http://schedule.sxsw.com/2015/2015/events/event_OE03940,,
Dailymotion presents Tasted’s Custom Cocktail Happy Hour,Dailymotion,Free custom cocktails for SXSW badge holders.,"Friday, March 13",Bungalow 92 Rainey St,Cocktails Party,Cocktails; Party,6:00PM - 8:00PM,/2015/tags/Cocktails; /2015/tags/Party,http://schedule.sxsw.com/2015/tags/Cocktails; http://schedule.sxsw.com/2015/tags/Party,http://schedule.sxsw.com/2015/2015/events/event_OE04070,,
DAQRI Presents: 4D - The Future of Augmented Reality,DAQRI,"DAQRI, the world’s leading Augmented Reality Products Company, presents “4D in the Future”- a unique SXSW event that will showcase how 4D will enhance the way we work, play, and learn. Join us for drinks, demonstrations, giveaways and more! Request an Invite at Daqri.com/sxsw","Sunday, March 15",The Contemporary Austin - Jones Center 700 Congress Ave,Gaming Expo,Gaming; Party; Technology,4:00PM - 9:00PM,/2015/tags/Gaming; /2015/tags/Party; /2015/tags/Technology,http://schedule.sxsw.com/2015/tags/Gaming; http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Technology,http://schedule.sxsw.com/2015/2015/events/event_OE04034,Gaming Party Technology,SXSW Gaming and Create
Decoded Fashion Kickoff Mixer,,"Our global networking series lands in Austin, join us for a cocktail to kick off SXSW in Decoded Fashion style.","Friday, March 13",JW Marriott Room 213 110 E 2nd St,Party SXStyle Decoded Fashion,Party; SXStyle; Decoded Fashion,5:00PM - 7:00PM,/2015/tags/Party; /2015/tags/SXStyle; /2015/tags/Decoded+Fashion,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/SXStyle; http://schedule.sxsw.com/2015/tags/Decoded+Fashion,http://schedule.sxsw.com/2015/2015/events/event_OE03835,,
Deloitte Happy Hour at the Registrants Lounge,Deloitte,Stop by the SXSW Registrants Lounge for some free drinks and apps with Deloitte during their Happy Hour. sxsw.deloitte.com,"Friday, March 13",Registrants Lounge Neches and 4th St,,,4:00PM - 5:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04218,,
Deluxe Creative Services Celebrates Digital Creativity,Deluxe Creative Services,"Encore, Method, Company 3 and Beast are coming together to host a cocktail reception and celebrate digital creativity at SXSW. Please join us, and raise a glass to honor this year’s festival films.","Monday, March 16",Four Seasons 98 San Jacinto Blvd,Convergence futureoftv Party,Convergence; futureoftv; Party,6:00PM - 8:00AM,/2015/tags/Convergence; /2015/tags/futureoftv; /2015/tags/Party,http://schedule.sxsw.com/2015/tags/Convergence; http://schedule.sxsw.com/2015/tags/futureoftv; http://schedule.sxsw.com/2015/tags/Party,http://schedule.sxsw.com/2015/2015/events/event_OE03784,,
DIRECTV Exclusive Digital Bash,DIRECTV,"Don’t miss the DIRECTV Digital Bash! Indie band Cults from New York are set to perform an exclusive set at Vuka Austin. Enjoy premium cocktails, a lounge space, and pop music that you’ll be singing through the rest of the convention. Remember to join us by day between 10 a.m. – 6 p.m. to receive VIP Premium Access into the concert. Don’t miss out! RSVP HERE: DIRECTV at SXSW #SXSW #TransformTV","Sunday, March 15",VUKA 411 Monroe,Party Cocktails,Party; Cocktails,7:00PM - 10:00PM,/2015/tags/Party; /2015/tags/Cocktails,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE04226,,
Domain.com and .ME's Brush Square Bash III,domain.com; .ME,"Come treat yourself! Free drinks, free food, free prizes, and free fun! Surprise bands!","Monday, March 16","East Tent, Brush Square Park Neches and 5th St",Party Cocktails,Party; Cocktails,4:00PM - 9:00PM,/2015/tags/Party; /2015/tags/Cocktails,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE03845,,
Drupal Drop In,Drupal,"This event is open to anyone currently using or interested in Drupal. You can look forward to live music, great food & drink and networking with top innovators that are using Drupal to transform their business.","Saturday, March 14",Maggie Mae's Rooftop 323 E 6th St,party,party,12:00PM - 3:00PM,/2015/tags/party,http://schedule.sxsw.com/2015/tags/party,http://schedule.sxsw.com/2015/2015/events/event_OE03850,,
Emergent Order hosts dProgram SXSW Wrap Party featuring The Octopus Project,Emergent Order,"We’re wrapping up dProgram SXSW with a mega mixer at The Parish on 6th street, featuring Austin’s The Octopus Project. Amazing entertainment, free drinks, big ideas. Not to be missed! Register at http://dprogram.org","Saturday, March 14",Parish 214C E 6th St,Party Cocktails,Party; Cocktails,8:00PM - 2:00AM,/2015/tags/Party; /2015/tags/Cocktails,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE03857,,
