"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"3122 Florence","2017-Sep-01 12:06 ±","18.38/0.04724","18.38/0.04724","13.53","13.53","4.38e+05","14.1","355","AMO*"
"(2014 RC)","2017-Sep-11 14:20 ±   00:07","15.10/0.03881","15.06/0.03870","8.92","8.92","7.83e+04","26.8","22","APO*"
"(2016 DY30)","2016-Feb-25 19:59 ±   00:02","0.04/9.6e-05","0.04/9.5e-05","17.35","15.67","245","30.5","2","APO*"
"(2016 RN41)","2016-Sep-11 14:56 ±","0.06/0.00016","0.06/0.00015","11.73","10.20","26.6","31.0","3","APO*"
"(2016 AH164)","2016-Jan-12 03:35 ±","0.07/0.00018","0.07/0.00018","8.63","6.67","1.85e+03","29.7","5","APO*"
"(2016 EF195)","2016-Mar-11 04:35 ±   00:20","0.08/0.00021","0.08/0.00021","10.06","8.72","694","25.5","5","APO*"
"(2015 VY105)","2015-Nov-15 02:40 ±","0.09/0.00023","0.09/0.00023","17.43","16.75","1.24e+03","29.0","6","APO*"
"(2016 AN164)","2016-Jan-14 14:55 ±","0.10/0.00025","0.10/0.00025","13.18","12.34","1.26e+03","30.4","2","APO*"
"(2016 RB1)","2016-Sep-07 17:20 ±","0.11/0.00027","0.11/0.00027","8.13","6.81","1.45e+04","27.8","12","ATE*"
"(2016 GN134)","2016-Apr-04 13:52 ±","0.15/0.00038","0.15/0.00038","13.90","13.39","1.9e+03","30.3","3","APO*"
"(2015 YJ)","2015-Dec-13 21:19 ±   00:03","0.19/0.00048","0.18/0.00047","16.72","16.38","465","28.2","6","APO*"
"(2016 LP10)","2016-Jun-09 18:32 ±","0.19/0.00048","0.19/0.00048","15.91","15.56","370","29.5","2","APO*"
"(2016 CM194)","2016-Feb-13 07:48 ±","0.20/0.00052","0.20/0.00052","12.00","11.57","8.53e+03","27.7","4","APO*"
"(2016 QA2)","2016-Aug-28 01:26 ±","0.23/0.00058","0.23/0.00058","10.27","9.81","7.96e+04","25.2","4","ATE*"
"(2015 VU64)","2015-Nov-06 23:09 ±","0.26/0.00067","0.26/0.00067","4.48","3.48","4.66e+03","30.6","3","ATE*"
"(2016 AQ164)","2016-Jan-10 14:15 ±","0.27/0.00070","0.27/0.00069","14.16","13.88","282","29.8","2","APO*"
"(2015 TC25)","2015-Oct-13 07:32 ±","0.29/0.00074","0.29/0.00074","4.43","3.53","9.87e+03","29.5","10","APO*"
"(2016 DB)","2016-Feb-15 04:50 ±","0.32/0.00083","0.32/0.00083","9.45","9.10","1.72e+03","28.5","2","ATE*"
"(2016 RR1)","2016-Sep-02 16:15 ±","0.34/0.00086","0.34/0.00086","7.22","6.78","1.03e+03","27.7","8","APO*"
"(2015 UM52)","2015-Oct-22 19:19 ±","0.34/0.00087","0.34/0.00087","7.88","7.49","1.84e+03","27.8","5","APO*"
"(2016 LT1)","2016-Jun-07 20:25 ±","0.38/0.00097","0.38/0.00097","7.48","7.10","1.04e+04","29.3","5","APO*"
