Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2015 EO6),2015-Mar-12 00:31 ±,0.3/0.0007,0.3/0.0007,23.81,23.66,370,29.9,2,APO*
(2014 GC49),2014-Apr-03 02:59 ±   00:02,0.3/0.0008,0.3/0.0008,17.08,16.87,535,28.6,3,ATE*
(2015 ET),2015-Mar-10 16:42 ±,0.3/0.0008,0.3/0.0008,12.38,12.12,5.05e+03,26.7,9,APO*
(2015 AQ43),2015-Jan-14 13:20 ±,0.4/0.0011,0.4/0.0011,12.51,12.30,1.35e+03,28.1,6,APO*
(2015 BE511),2015-Jan-20 13:06 ±,0.4/0.0011,0.4/0.0011,9.46,9.20,631,28.6,3,APO*
(2014 UF56),2014-Oct-27 21:22 ±,0.4/0.0011,0.4/0.0011,12.07,11.87,1.81e+03,27.4,6,APO*
(2014 OP2),2014-Jul-24 08:35 ±,0.5/0.0013,0.5/0.0013,11.67,11.50,1.81e+03,29.1,6,APO*
(2014 LN17),2014-Jun-03 12:56 ±   00:02,0.6/0.0014,0.5/0.0014,24.68,24.61,167,27.0,3,APO*
(2014 WE6),2014-Nov-13 18:06 ±,0.6/0.0015,0.6/0.0015,4.79,4.39,842,30.4,4,ATE*
(2015 BP513),2015-Jan-18 17:09 ±,0.6/0.0016,0.6/0.0016,7.75,7.54,674,26.7,3,APO*
(2014 MH6),2014-Jun-22 14:05 ±,0.6/0.0017,0.6/0.0016,16.21,16.11,779,27.1,3,APO*
(2014 UU56),2014-Oct-19 11:03 ±   00:03,0.7/0.0017,0.7/0.0017,8.39,8.21,647,28.3,5,APO*
(2014 OM207),2014-Jul-25 06:39 ±,0.7/0.0018,0.7/0.0018,8.44,8.26,653,29.1,3,APO*
(2015 CH13),2015-Feb-11 06:17 ±,0.7/0.0019,0.7/0.0019,15.30,15.21,485,28.5,2,APO*
(2014 HL129),2014-May-03 08:14 ±,0.8/0.0020,0.8/0.0019,6.37,6.15,853,28.3,6,APO*
(2014 WJ6),2014-Nov-15 16:12 ±,0.9/0.0022,0.9/0.0022,14.64,14.56,681,27.1,3,APO*
(2014 KW76),2014-May-26 23:29 ±,0.9/0.0023,0.9/0.0023,15.13,15.05,717,27.9,7,APO*
(2014 YR14),2014-Dec-26 09:52 ±,0.9/0.0023,0.9/0.0023,15.14,15.06,2.44e+04,26.1,12,APO*
(2015 FM118),2015-Mar-28 02:49 ±,0.9/0.0024,0.9/0.0024,8.83,8.70,2.64e+03,28.7,2,APO*
(2014 WX202),2014-Dec-07 20:09 ±,1.0/0.0025,1.0/0.0025,1.67,0.81,7.43e+04,29.6,8,APO*
(2014 YW14),2014-Dec-28 14:35 ±,1.1/0.0028,1.1/0.0028,8.53,8.42,1.88e+03,27.6,3,ATE*
(2014 HX164),2014-May-06 00:46 ±,1.1/0.0029,1.1/0.0029,7.92,7.80,1.11e+03,27.2,9,APO*
(2014 SN142),2014-Sep-23 05:27 ±,1.1/0.0029,1.1/0.0029,13.30,13.23,4.35e+03,28.2,2,APO*
(2014 KH39),2014-Jun-03 20:07 ±,1.1/0.0029,1.1/0.0029,11.06,10.98,6.11e+04,26.2,21,APO*
(2014 WU200),2014-Dec-10 16:31 ±,1.2/0.0030,1.2/0.0030,2.17,1.72,1.87e+04,29.1,13,APO*
(2014 JU15),2014-Apr-28 21:50 ±,1.2/0.0030,1.2/0.0030,10.37,10.28,1.21e+03,24.8,8,ATE*
(2014 HJ196),2014-Apr-29 19:32 ±   04:39,1.2/0.0031,1.1/0.0027,13.97,13.91,18.9,29.2,2,APO*
(2014 QP434),2014-Aug-27 03:36 ±   00:05,1.2/0.0031,1.2/0.0031,9.64,9.55,218,27.8,2,APO*
(2014 GM35),2014-Apr-06 07:23 ±,1.2/0.0031,1.2/0.0031,23.49,23.45,523,26.8,3,APO*
(2015 DB),2015-Feb-18 19:27 ±,1.3/0.0033,1.3/0.0033,8.85,8.76,5.05e+03,27.8,4,APO*
(2014 HJ197),2014-Apr-14 02:53 ± 1_18:03,1.3/0.0033,1.0/0.0025,4.75,4.58,13.8,30.2,2,APO*
(2014 HB177),2014-May-06 07:29 ±,1.3/0.0033,1.3/0.0033,6.31,6.18,2.44e+03,28.1,8,APO*
(2015 BZ3),2015-Jan-15 10:58 ±,1.3/0.0034,1.3/0.0034,7.71,7.61,1.74e+03,27.6,6,APO*
(2014 HV2),2014-Apr-29 08:29 ±,1.4/0.0035,1.4/0.0035,13.01,12.95,749,25.9,7,APO*
(2014 WR362),2014-Nov-22 17:12 ±,1.4/0.0036,1.4/0.0036,12.40,12.34,1.97e+03,27.3,2,APO*
(2015 FU284),2015-Mar-16 22:02 ±,1.4/0.0036,1.4/0.0036,19.79,19.76,1.98e+03,28.3,1,APO*
(2015 BY3),2015-Jan-12 01:15 ±   00:01,1.4/0.0037,1.4/0.0037,16.51,16.46,541,27.5,3,APO*
(2014 WC201),2014-Dec-02 04:50 ±,1.4/0.0037,1.4/0.0037,11.41,11.35,1.28e+03,26.1,9,APO*
(2015 EX),2015-Mar-08 16:16 ±,1.4/0.0037,1.4/0.0037,10.62,10.55,1.72e+03,25.8,4,APO*
(2015 BM4),2015-Jan-15 03:42 ±,1.4/0.0037,1.4/0.0037,8.35,8.27,2.54e+03,23.7,10,APO*
(2014 SC324),2014-Oct-24 19:21 ±,1.5/0.0038,1.5/0.0038,9.89,9.82,4.27e+06,24.3,54,APO*
(2014 YS15),2014-Dec-10 21:05 ±,1.6/0.0041,1.6/0.0041,9.86,9.79,2.14e+04,23.5,11,APO*
(2014 KF46),2014-May-29 00:24 ±,1.6/0.0041,1.6/0.0041,17.07,17.04,1.38e+03,26.5,3,APO*
(2014 YL42),2014-Dec-27 14:21 ±,1.6/0.0041,1.6/0.0041,19.04,19.01,2.73e+03,24.6,8,APO*
(2014 YD15),2014-Dec-31 09:44 ±,1.6/0.0041,1.6/0.0041,7.98,7.89,1.34e+03,26.8,3,APO*
(2015 BC),2015-Jan-20 03:50 ±,1.6/0.0042,1.6/0.0042,19.74,19.71,1.69e+03,24.0,6,APO*
(2014 HM4),2014-Apr-25 13:59 ±,1.6/0.0042,1.6/0.0042,16.96,16.93,1.33e+04,26.9,11,APO*
(2015 BP509),2015-Jan-19 12:13 ±,1.7/0.0043,1.7/0.0043,15.53,15.49,729,27.8,2,APO*
(2014 HD198),2014-Apr-30 19:57 ±   09:21,1.8/0.0046,1.1/0.0030,17.01,16.97,8.39,29.7,2,APO*
(2015 BP),2015-Jan-20 04:17 ±,1.8/0.0047,1.8/0.0046,12.68,12.64,297,28.1,3,APO*
(2014 GS1),2014-Apr-02 18:01 ±,1.8/0.0047,1.8/0.0047,11.79,11.74,1.1e+03,26.7,3,ATE*
(2015 CT13),2015-Feb-11 09:26 ±,1.8/0.0047,1.8/0.0047,6.49,6.41,4.21e+03,25.9,8,APO*
(2014 SR261),2014-Sep-18 17:56 ±   00:02,1.9/0.0048,1.8/0.0047,15.46,15.42,404,26.7,8,APO*
(2014 WA),2014-Nov-17 10:27 ±,1.9/0.0049,1.9/0.0049,9.40,9.34,2.96e+03,28.2,3,APO*
(2013 RZ53),2014-Sep-09 04:04 ±   00:20,1.9/0.0049,1.9/0.0048,1.56,1.15,1.57e+04,31.1,6,APO*
(2015 EZ6),2015-Mar-13 13:55 ±,1.9/0.0049,1.9/0.0049,3.42,3.26,1.1e+03,28.6,2,APO*
(2014 GQ17),2014-Apr-03 23:19 ±,1.9/0.0050,1.9/0.0050,5.37,5.27,2.11e+03,27.1,14,ATE*
(2014 SF304),2014-Oct-05 02:10 ±,1.9/0.0050,1.9/0.0050,6.84,6.76,1.96e+03,27.3,8,APO*
(2014 ST223),2014-Sep-21 02:40 ±,1.9/0.0050,1.9/0.0050,6.28,6.19,957,27.6,11,APO*
(2009 RR),2014-Sep-16 10:03 ± 2_03:14,2.0/0.0050,1.0/0.0025,12.88,12.84,1.84e+04,25.5,9,APO*
(2014 HY198),2014-May-05 10:21 ±   05:33,2.0/0.0052,1.9/0.0048,6.41,6.33,33.7,29.7,2,APO*
(2014 SB224),2014-Sep-22 13:46 ±,2.0/0.0052,2.0/0.0052,12.21,12.17,878,26.3,3,APO*
(2015 CL13),2015-Feb-15 22:52 ±,2.0/0.0052,2.0/0.0052,13.59,13.55,1.62e+03,25.7,3,APO*
(2014 SU223),2014-Sep-26 10:23 ±,2.0/0.0052,2.0/0.0052,12.81,12.77,726,27.0,4,APO*
(2014 HW),2014-Apr-27 03:58 ±,2.1/0.0053,2.1/0.0053,4.40,4.28,1.08e+03,28.4,9,APO*
(2015 CD1),2015-Feb-07 15:28 ±,2.1/0.0054,2.1/0.0054,5.41,5.31,1.44e+03,28.2,3,APO*
(2014 HU46),2014-Apr-12 02:22 ±   00:41,2.1/0.0055,2.1/0.0053,9.65,9.60,56,27.8,8,APO*
(2014 HO132),2014-May-05 08:10 ±,2.1/0.0055,2.1/0.0055,9.05,9.00,2.67e+03,25.7,11,APO*
(2015 DY198),2015-Mar-01 11:24 ±,2.2/0.0056,2.2/0.0056,16.22,16.20,736,26.6,3,APO*
(2014 KO62),2014-May-23 02:06 ±,2.2/0.0057,2.2/0.0057,4.27,4.16,1.4e+03,26.2,11,APO*
(2014 JR25),2014-May-05 10:23 ±,2.2/0.0058,2.2/0.0057,15.34,15.31,1.66e+03,23.4,10,APO*
(2014 SH224),2014-Sep-29 16:45 ±,2.3/0.0058,2.2/0.0058,10.87,10.83,1.25e+03,26.1,5,APO*
(2015 CP),2015-Feb-03 12:32 ±   00:03,2.3/0.0058,2.2/0.0057,24.94,24.93,330,26.4,4,APO*
(2014 OX3),2014-Jul-21 19:42 ±,2.3/0.0058,2.2/0.0058,12.70,12.66,390,27.8,5,APO*
(2015 FQ35),2015-Mar-17 02:30 ±   00:04,2.3/0.0058,2.2/0.0058,9.44,9.39,514,25.6,2,APO*
(2014 KS76),2014-May-18 05:32 ±,2.3/0.0059,2.3/0.0059,7.42,7.36,1.56e+03,26.5,9,ATE*
(2014 GN1),2014-Apr-06 10:25 ±,2.4/0.0063,2.4/0.0063,20.71,20.69,1.43e+03,24.6,6,APO*
(2014 QC391),2014-Sep-04 21:11 ±,2.4/0.0063,2.4/0.0062,7.83,7.78,390,27.4,4,APO*
(2015 EF),2015-Mar-13 22:07 ±   00:05,2.5/0.0063,2.4/0.0063,14.61,14.58,367,26.8,1,APO*
(2014 UL175),2014-Oct-24 10:25 ±   00:12,2.5/0.0065,2.5/0.0064,11.92,11.88,178,26.5,2,APO*
(2014 UG8),2014-Oct-18 06:59 ±,2.6/0.0066,2.6/0.0066,10.48,10.44,456,26.8,4,APO*
(2014 WF6),2014-Nov-11 10:24 ±,2.6/0.0067,2.6/0.0067,18.87,18.85,1.62e+04,24.4,10,APO*
(2014 QJ365),2014-Aug-25 22:41 ±   00:03,2.6/0.0067,2.5/0.0065,12.21,12.18,80.3,27.5,2,APO*
(2013 AG69),2014-Jul-08 22:34 ± 1_23:41,2.7/0.0068,2.6/0.0067,17.38,17.36,4.9e+03,27.3,4,APO*
(2014 KF22),2014-May-28 14:27 ±,2.7/0.0069,2.7/0.0069,10.69,10.66,9.86e+03,26.4,7,APO*
(2015 EG7),2015-Mar-20 21:27 ±,2.7/0.0070,2.7/0.0070,13.14,13.11,4.51e+03,27.4,5,APO*
(2015 EO),2015-Mar-15 14:09 ±,2.8/0.0071,2.7/0.0070,14.19,14.17,455,26.6,4,APO*
